id,decorate,link,built_time,price,name,square,total_price,location,direction,right,style,lift,stair
,精装,https://sz.lianjia.com/ershoufang/105101220341.html,1999年建/塔楼,122178元/平米,百花公寓二期,145.69㎡,1780,福田区?百花?,东南,商品房,4室2厅1厨2卫,有,高楼层 (共28层)
,精装,https://sz.lianjia.com/ershoufang/105100980030.html,2007年建/板塔结合,105050元/平米,南海玫瑰花园三期,147.55㎡,1550,南山区?蛇口?,南 北,商品房,5室2厅1厨3卫,有,低楼层 (共26层)
,精装,https://sz.lianjia.com/ershoufang/105101069726.html,2009年建/板塔结合,70029元/平米,中熙香缇湾,89.25㎡,625,宝安区?西乡?,东南 西北,商品房,3室2厅1厨2卫,有,高楼层 (共25层)
,其他,https://sz.lianjia.com/ershoufang/105101223045.html,2002年建/板塔结合,67563元/平米,鸿景湾名苑,133.21㎡,900,福田区?上下沙?,西南,商品房,4室1厅1厨2卫,有,低楼层 (共33层)
,其他,https://sz.lianjia.com/ershoufang/105101197255.html,2003年建/板塔结合,73570元/平米,港湾丽都,107.11㎡,788,南山区?前海?,东北,商品房,4室2厅1厨2卫,有,高楼层 (共17层)
,其他,https://sz.lianjia.com/ershoufang/105101212088.html,2012年建/暂无数据,69889元/平米,松坪村西区三期,50.08㎡,350,南山区?科技园?,东南,商品房,2室1厅1厨1卫,有,高楼层 (共35层)
,精装,https://sz.lianjia.com/ershoufang/105101072674.html,2006年建/板塔结合,48167元/平米,锦绣东方,112.11㎡,540,龙岗区?龙岗中心城?,南,商品房,4室2厅1厨2卫,有,低楼层 (共17层)
,其他,https://sz.lianjia.com/ershoufang/105100438273.html,2007年建/塔楼,51856元/平米,祥云天都世纪大厦,91.6㎡,475,福田区?新洲?,西北,商品房,3室1厅1厨1卫,有,中楼层 (共32层)
,其他,https://sz.lianjia.com/ershoufang/105100831400.html,2008年建/板楼,54832元/平米,桃源村三期,89㎡,488,南山区?西丽?,北,商品房,3室1厅1厨1卫,有,高楼层 (共34层)
,其他,https://sz.lianjia.com/ershoufang/105101038708.html,2013年建/板塔结合,69282元/平米,中航天逸,89.49㎡,620,龙华区?深圳北站?,南,商品房,3室2厅1厨2卫,有,低楼层 (共30层)
,精装,https://sz.lianjia.com/ershoufang/105101022991.html,2011年建/板塔结合,53780元/平米,中粮鸿云,135.74㎡,730,宝安区?西乡?,南 北,商品房,5室1厅1厨2卫,有,中楼层 (共26层)
,精装,https://sz.lianjia.com/ershoufang/105100238766.html,2009年建/板楼,56359元/平米,佳兆业可园五期,97.59㎡,550,龙岗区?布吉南岭?,南,商品房,4室2厅1厨2卫,有,高楼层 (共23层)
,其他,https://sz.lianjia.com/ershoufang/105101150686.html,2013年建/板塔结合,62400元/平米,绿景香颂,87.5㎡,546,龙华区?深圳北站?,南,商品房,4室2厅1厨2卫,有,中楼层 (共33层)
,简装,https://sz.lianjia.com/ershoufang/105100962609.html,2001年建/塔楼,41178元/平米,风和日丽,88.64㎡,365,龙华区?深圳北站?,南,商品房,3室1厅1厨1卫,暂无数据,低楼层 (共7层)
,简装,https://sz.lianjia.com/ershoufang/105101183534.html,1999年建/板塔结合,58486元/平米,都市花园,90.62㎡,530,福田区?车公庙?,西北,商品房,3室1厅1厨1卫,有,中楼层 (共13层)
,精装,https://sz.lianjia.com/ershoufang/105101072756.html,2002年建/板塔结合,52336元/平米,汇鑫花园,71.08㎡,372,罗湖区?黄贝岭?,西北,商品房,2室2厅1厨1卫,有,低楼层 (共26层)
,精装,https://sz.lianjia.com/ershoufang/105101144801.html,2005年建/板塔结合,41578元/平米,心海伽蓝,74.56㎡,310,盐田区?梅沙?,西南,商品房,1室2厅1厨1卫,有,高楼层 (共13层)
,简装,https://sz.lianjia.com/ershoufang/105100460740.html,2000年建/板楼,47716元/平米,万科四季花城一期,113.17㎡,540,龙岗区?坂田?,南,商品房,3室2厅1厨2卫,暂无数据,高楼层 (共7层)
,其他,https://sz.lianjia.com/ershoufang/105101110560.html,2009年建/板塔结合,41007元/平米,中海康城国际一期,87.79㎡,360,龙岗区?大运新城?,南,商品房,3室2厅1厨2卫,有,高楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105101024419.html,2009年建/板楼,63504元/平米,碧海富通城五期,86.61㎡,550,宝安区?碧海?,南,商品房,3室2厅1厨1卫,有,中楼层 (共32层)
,简装,https://sz.lianjia.com/ershoufang/105100115025.html,2003年建/塔楼,95436元/平米,香山美树苑,144.6㎡,1380,福田区?竹子林?,南,商品房,4室2厅1厨2卫,有,低楼层 (共22层)
,毛坯,https://sz.lianjia.com/ershoufang/105100962254.html,2007年建/板塔结合,42664元/平米,中海大山地,89.07㎡,380,龙岗区?横岗?,南,商品房,4室1厅1厨2卫,暂无数据,高楼层 (共7层)
,其他,https://sz.lianjia.com/ershoufang/105100773389.html,2007年建/塔楼,36383元/平米,佳兆业水岸新都,118.19㎡,430,龙岗区?龙岗双龙?,南,商品房,4室1厅1厨3卫,有,中楼层 (共18层)
,精装,https://sz.lianjia.com/ershoufang/105101203549.html,2010年建/板楼,63800元/平米,金地上塘道一期,78.37㎡,500,龙华区?上塘?,南,商品房,3室1厅1厨2卫,有,高楼层 (共24层)
,毛坯,https://sz.lianjia.com/ershoufang/105100587854.html,2010年建/板塔结合,81963元/平米,阳光天下花园,176.91㎡,1450,福田区?梅林?,西南 东北,商品房,5室2厅1厨4卫,有,中楼层 (共27层)
,简装,https://sz.lianjia.com/ershoufang/105100827448.html,2005年建/板塔结合,52250元/平米,福宇轩,112.92㎡,590,福田区?车公庙?,东 北,商品房,3室2厅1厨1卫,有,高楼层 (共11层)
,简装,https://sz.lianjia.com/ershoufang/105100716652.html,2006年建/塔楼,42201元/平米,英郡年华,63.98㎡,270,龙岗区?丹竹头?,西南,商品房,2室2厅1厨1卫,有,低楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105101171393.html,2007年建/板塔结合,45255元/平米,劲力城市明珠,75.13㎡,340,龙华区?龙华中心?,东南,商品房,3室1厅1厨1卫,有,低楼层 (共22层)
,精装,https://sz.lianjia.com/ershoufang/105101024285.html,2006年建/板塔结合,63683元/平米,金成时代家园,106.78㎡,680,宝安区?宝安中心?,西南,商品房,3室1厅1厨2卫,有,低楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105101106659.html,2003年建/板塔结合,67149元/平米,云顶翠峰,78.93㎡,530,福田区?皇岗?,北,商品房,2室1厅1厨1卫,有,高楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105101218315.html,2007年建/板塔结合,66901元/平米,风临洲,99.85㎡,668,宝安区?宝安中心?,东南,商品房,3室1厅1厨1卫,有,高楼层 (共26层)
,精装,https://sz.lianjia.com/ershoufang/105101057148.html,2003年建/板塔结合,83887元/平米,麒麟花园,149.01㎡,1250,南山区?南头?,南 北,商品房,5室2厅1厨2卫,暂无数据,中楼层 (共6层)
,精装,https://sz.lianjia.com/ershoufang/105100963130.html,2011年建/塔楼,40684元/平米,中海康城国际一期,87.26㎡,355,龙岗区?大运新城?,西南,商品房,3室2厅1厨1卫,有,中楼层 (共30层)
,精装,https://sz.lianjia.com/ershoufang/105100833371.html,2009年建/板塔结合,62396元/平米,中信湾上六座,89.75㎡,560,宝安区?碧海?,南,商品房,3室1厅1厨2卫,有,低楼层 (共25层)
,精装,https://sz.lianjia.com/ershoufang/105101148302.html,2001年建/板塔结合,63454元/平米,皇庭居,89.83㎡,570,福田区?皇岗?,南,商品房,3室2厅1厨2卫,有,高楼层 (共32层)
,简装,https://sz.lianjia.com/ershoufang/105100449264.html,1995年建/板塔结合,51064元/平米,瑞昌大厦,47㎡,240,福田区?皇岗?,东北,商品房,2室1厅1厨1卫,有,中楼层 (共19层)
,其他,https://sz.lianjia.com/ershoufang/105101149225.html,2000年建/板塔结合,61209元/平米,星海名城一期一组团,104.56㎡,640,南山区?前海?,东南,商品房,4室2厅1厨2卫,有,中楼层 (共9层)
,精装,https://sz.lianjia.com/ershoufang/105101218445.html,2011年建/塔楼,56232元/平米,万科第五园六期,124.13㎡,698,龙岗区?坂田?,南 北,商品房,3室2厅1厨2卫,有,中楼层 (共20层)
,其他,https://sz.lianjia.com/ershoufang/105101129276.html,2015年建/塔楼,39492元/平米,信义御城豪园,51.91㎡,205,龙岗区?横岗?中环至外环,西南,商品房,2室1厅1厨1卫,有,高楼层 (共33层)
,其他,https://sz.lianjia.com/ershoufang/105100949650.html,1996年建/板塔结合,35511元/平米,安源居,78.85㎡,280,宝安区?西乡?,东南,商品房,3室1厅1厨1卫,暂无数据,高楼层 (共7层)
,简装,https://sz.lianjia.com/ershoufang/105100755281.html,2002年建/塔楼,44170元/平米,聚福花园,73.58㎡,325,罗湖区?莲塘?,南,商品房,2室2厅1厨1卫,有,高楼层 (共17层)
,其他,https://sz.lianjia.com/ershoufang/105101176658.html,2002年建/板塔结合,44658元/平米,大信花园,62.7㎡,280,龙华区?龙华中心?,东南,商品房,2室2厅1厨1卫,暂无数据,低楼层 (共8层)
,其他,https://sz.lianjia.com/ershoufang/105101114367.html,2003年建/板塔结合,45669元/平米,富通天骏,148.9㎡,680,龙华区?龙华中心?,南 北,商品房,4室2厅1厨2卫,有,高楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105100766878.html,2007年建/板塔结合,82616元/平米,圣莫丽斯花园B区,254.19㎡,2100,龙华区?深圳北站?,南,商品房,4室2厅1厨2卫,有,低楼层 (共3层)
,精装,https://sz.lianjia.com/ershoufang/105100802442.html,2005年建/板楼,56932元/平米,豪业华庭,70.26㎡,400,宝安区?碧海?,西南,商品房,2室2厅1厨1卫,暂无数据,低楼层 (共6层)
,毛坯,https://sz.lianjia.com/ershoufang/105100447051.html,2013年建/塔楼,40955元/平米,THETOWN乐城,170.92㎡,700,龙岗区?横岗?,南 北,商品房,5室2厅1厨3卫,有,低楼层 (共33层)
,其他,https://sz.lianjia.com/ershoufang/105101206580.html,1997年建/板塔结合,52444元/平米,丰泽园,78.18㎡,410,南山区?前海?,东北,商品房,2室2厅1厨1卫,暂无数据,低楼层 (共8层)
,精装,https://sz.lianjia.com/ershoufang/105100973938.html,2000年建/塔楼,41137元/平米,荣超花园,57.37㎡,236,龙岗区?布吉关?,东南,商品房,2室1厅1厨1卫,有,中楼层 (共26层)
,其他,https://sz.lianjia.com/ershoufang/105101177813.html,2016年建/板楼,68417元/平米,松茂御龙湾,89.16㎡,610,宝安区?碧海?中环至外环,南,商品房,3室1厅1厨2卫,暂无数据,低楼层 (共30层)
,简装,https://sz.lianjia.com/ershoufang/105101076133.html,2009年建/板楼,54357元/平米,桃源盛景园十六区,119.58㎡,650,宝安区?桃源居?,南,商品房,4室2厅1厨1卫,有,高楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105101221109.html,2006年建/塔楼,43730元/平米,龙园山庄,74.32㎡,325,罗湖区?清水河?,东南,商品房,2室2厅1厨1卫,有,低楼层 (共25层)
,精装,https://sz.lianjia.com/ershoufang/105100882519.html,2006年建/板塔结合,56030元/平米,万科东方尊峪,126.72㎡,710,罗湖区?莲塘?,西北,商品房,3室1厅1厨2卫,有,低楼层 (共24层)
,简装,https://sz.lianjia.com/ershoufang/105100765795.html,1994年建/板楼,29171元/平米,翠湖山庄,89.13㎡,260,龙岗区?横岗?,南,商品房,2室2厅1厨1卫,暂无数据,中楼层 (共8层)
,精装,https://sz.lianjia.com/ershoufang/105100227309.html,2001年建/板塔结合,55910元/平米,彩世界家园,95.69㎡,535,罗湖区?布心?,东,商品房,3室2厅1厨2卫,有,低楼层 (共23层)
,其他,https://sz.lianjia.com/ershoufang/105100924336.html,2002年建/板塔结合,86086元/平米,天鹅堡,220.71㎡,1900,南山区?华侨城?,南,商品房,4室2厅1厨3卫,有,中楼层 (共34层)
,简装,https://sz.lianjia.com/ershoufang/105101025343.html,1996年建/板塔结合,46628元/平米,景园大厦,175.86㎡,820,南山区?蛇口?,南,商品房,4室2厅1厨2卫,有,低楼层 (共32层)
,其他,https://sz.lianjia.com/ershoufang/105101113140.html,2016年建/暂无数据,69656元/平米,信义嘉御山5期,89.01㎡,620,龙岗区?坂田?,东南,商品房,4室2厅1厨2卫,暂无数据,低楼层 (共38层)
,其他,https://sz.lianjia.com/ershoufang/105101131032.html,2008年建/塔楼,58817元/平米,桃源村三期,88.41㎡,520,南山区?西丽?,南,商品房,3室2厅1厨1卫,有,低楼层 (共34层)
,简装,https://sz.lianjia.com/ershoufang/105100957168.html,1997年建/板楼,44293元/平米,凯伦花园,99.34㎡,440,福田区?梅林?,南 北,商品房,3室2厅1厨2卫,暂无数据,中楼层 (共8层)
,简装,https://sz.lianjia.com/ershoufang/105101217203.html,2004年建/板楼,44129元/平米,欧景城花园,52.12㎡,230,龙岗区?龙岗中心城?,南,商品房,2室1厅1厨1卫,暂无数据,高楼层 (共4层)
,精装,https://sz.lianjia.com/ershoufang/105101209238.html,2012年建/板楼,69141元/平米,中森双子座公馆,70.87㎡,490,龙岗区?大运新城?,东南,商品房,3室2厅1厨1卫,有,高楼层 (共24层)
,精装,https://sz.lianjia.com/ershoufang/105101087645.html,2006年建/塔楼,86996元/平米,尚都二期,133.34㎡,1160,宝安区?宝安中心?,西南,商品房,4室2厅1厨2卫,有,中楼层 (共29层)
,精装,https://sz.lianjia.com/ershoufang/105100860103.html,2003年建/板塔结合,40296元/平米,馨园二期,89.34㎡,360,龙华区?民治?,北,商品房,3室2厅1厨1卫,暂无数据,低楼层 (共6层)
,精装,https://sz.lianjia.com/ershoufang/105100291166.html,2011年建/板塔结合,40845元/平米,中海康城花园二期,72.96㎡,298,龙岗区?大运新城?,东北,商品房,2室2厅1厨1卫,有,低楼层 (共24层)
,其他,https://sz.lianjia.com/ershoufang/105101007565.html,2000年建/板塔结合,36066元/平米,丽湖花园三期,78.19㎡,282,龙岗区?布吉水径?,南,商品房,3室1厅1厨1卫,有,高楼层 (共20层)
,其他,https://sz.lianjia.com/ershoufang/105101022499.html,2001年建/板塔结合,54549元/平米,彩天名苑,59.58㎡,325,福田区?福田中心?,西,商品房,2室1厅1厨1卫,有,低楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105100618842.html,2003年建/板塔结合,53476元/平米,嘉洲华苑,82.28㎡,440,福田区?车公庙?,南,商品房,3室1厅1厨1卫,有,中楼层 (共26层)
,精装,https://sz.lianjia.com/ershoufang/105101019659.html,2003年建/板塔结合,67201元/平米,皇御苑二期,69.94㎡,470,福田区?皇岗?,东南,商品房,2室2厅1厨1卫,有,低楼层 (共30层)
,简装,https://sz.lianjia.com/ershoufang/105100699152.html,1997年建/板塔结合,43751元/平米,艺丰花园B区,92.57㎡,405,福田区?梅林?,南 北,商品房,3室1厅1厨1卫,暂无数据,高楼层 (共8层)
,其他,https://sz.lianjia.com/ershoufang/105101019134.html,1999年建/板塔结合,47726元/平米,名仕阁,53.64㎡,256,罗湖区?地王?,西北,商品房,1室1厅1厨1卫,有,高楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105100989872.html,2002年建/板塔结合,48618元/平米,达海花园,218.03㎡,1060,宝安区?宝安中心?,西南,商品房,6室2厅1厨3卫,有,高楼层 (共9层)
,其他,https://sz.lianjia.com/ershoufang/105101218091.html,2001年建/板塔结合,51155元/平米,鹏丽大厦,80.15㎡,410,福田区?赤尾?,西南,商品房,2室2厅1厨1卫,有,低楼层 (共30层)
,其他,https://sz.lianjia.com/ershoufang/105101027407.html,2008年建/塔楼,39776元/平米,花样年花港家园,42.74㎡,170,盐田区?盐田港?,东北,商品房,2室1厅1厨1卫,有,中楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105101103444.html,2008年建/板塔结合,70994元/平米,水木澜山居,88.74㎡,630,福田区?梅林?,东北,商品房,3室2厅1厨2卫,有,中楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105100550782.html,2011年建/塔楼,47448元/平米,深业紫麟山花园,200.22㎡,950,龙岗区?龙岗中心城?,南,商品房,5室2厅1厨2卫,有,中楼层 (共9层)
,精装,https://sz.lianjia.com/ershoufang/105101224654.html,2012年建/板塔结合,61192元/平米,招商果岭花园,87.92㎡,538,宝安区?西乡?,西北,商品房,3室2厅1厨2卫,有,低楼层 (共30层)
,其他,https://sz.lianjia.com/ershoufang/105101199745.html,1999年建/板塔结合,35099元/平米,龙珠花园,78.35㎡,275,龙岗区?布吉关?,东北,商品房,3室1厅1厨1卫,有,中楼层 (共30层)
,精装,https://sz.lianjia.com/ershoufang/105101066649.html,2003年建/板塔结合,49680元/平米,水晶之城,90.58㎡,450,龙岗区?横岗?,南,商品房,7室2厅1厨4卫,暂无数据,高楼层 (共6层)
,精装,https://sz.lianjia.com/ershoufang/105101050353.html,2012年建/塔楼,98437元/平米,天健时尚名苑,54.35㎡,535,福田区?福田保税区?,南,商品房,3室1厅1厨2卫,有,高楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105100891903.html,1997年建/板塔结合,54715元/平米,锦林新居,78.59㎡,430,福田区?梅林?,南 北,商品房,2室2厅1厨1卫,暂无数据,中楼层 (共7层)
,精装,https://sz.lianjia.com/ershoufang/105101124381.html,2003年建/板塔结合,54951元/平米,朗晴馨洲,65.24㎡,358.5,福田区?新洲?,东北,商品房,2室2厅1厨1卫,有,中楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105101158256.html,2013年建/板楼,59492元/平米,佳兆业悦峰,84.55㎡,503,龙岗区?坂田?中环至外环,南,商品房,3室2厅1厨2卫,有,中楼层 (共27层)
,精装,https://sz.lianjia.com/ershoufang/105100994193.html,2005年建/板塔结合,82638元/平米,春树里,114.96㎡,950,南山区?蛇口?,东南,商品房,5室2厅1厨2卫,有,低楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105100998416.html,2003年建/板楼,32379元/平米,雅豪祥苑,69.49㎡,225,龙岗区?龙岗中心城?,东南,商品房,2室2厅1厨1卫,暂无数据,中楼层 (共6层)
,精装,https://sz.lianjia.com/ershoufang/105100093608.html,1999年建/板塔结合,49343元/平米,海滨城广场,106.4㎡,525,宝安区?翻身?,东北,商品房,3室2厅1厨2卫,有,中楼层 (共11层)
,精装,https://sz.lianjia.com/ershoufang/105100869181.html,2009年建/板塔结合,56651元/平米,公园大地五期,81.2㎡,460,龙岗区?龙岗中心城?,东北,商品房,3室2厅1厨1卫,有,中楼层 (共19层)
,精装,https://sz.lianjia.com/ershoufang/105100665628.html,2001年建/板塔结合,57629元/平米,紫光名苑,65.94㎡,380,福田区?皇岗?,北,商品房,2室1厅1厨1卫,有,低楼层 (共31层)
,毛坯,https://sz.lianjia.com/ershoufang/105091350521.html,2011年建/板塔结合,90047元/平米,首地容御,205.45㎡,1850,南山区?华侨城?,西南,商品房,4室2厅1厨3卫,有,高楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105090500741.html,2012年建/板塔结合,106146元/平米,雍景湾,179㎡,1900,南山区?蛇口?,南,商品房,4室2厅1厨3卫,有,高楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105101188533.html,2000年建/板塔结合,64686元/平米,梅林一村十二区,91.21㎡,590,福田区?梅林?,西南,商品房,3室2厅1厨1卫,有,中楼层 (共31层)
,简装,https://sz.lianjia.com/ershoufang/105101178374.html,2006年建/塔楼,52653元/平米,鸿隆广场,50.33㎡,265,宝安区?西乡?,西北,商品房,2室1厅1厨1卫,有,高楼层 (共31层)
,其他,https://sz.lianjia.com/ershoufang/105101192491.html,2012年建/塔楼,54228元/平米,星河时代,85.75㎡,465,龙岗区?大运新城?,西南,商品房,3室1厅1厨2卫,有,低楼层 (共33层)
,其他,https://sz.lianjia.com/ershoufang/105100877883.html,2005年建/塔楼,50250元/平米,阳光新干线家园,68.06㎡,342,罗湖区?春风路?,东南,商品房,2室1厅1厨1卫,有,低楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105101080313.html,2006年建/板塔结合,87594元/平米,花园城三期,125.58㎡,1100,南山区?蛇口?,东南,商品房,4室2厅1厨2卫,有,中楼层 (共8层)
,其他,https://sz.lianjia.com/ershoufang/105101192788.html,2016年建/板塔结合,104916元/平米,华润城润府一期,87.69㎡,920,南山区?科技园?内环内,东北,商品房,3室2厅1厨2卫,暂无数据,低楼层 (共53层)
,精装,https://sz.lianjia.com/ershoufang/105101017177.html,2000年建/板塔结合,71459元/平米,金海花园,120.35㎡,860,福田区?竹子林?,南,商品房,4室2厅1厨2卫,有,高楼层 (共11层)
,简装,https://sz.lianjia.com/ershoufang/105100736584.html,2003年建/板楼,60411元/平米,中爱花园,77.47㎡,468,南山区?西丽?,西北,商品房,2室2厅1厨1卫,有,中楼层 (共15层)
,其他,https://sz.lianjia.com/ershoufang/105100816785.html,2012年建/塔楼,45466元/平米,万科翰邻城,129.77㎡,590,龙岗区?龙岗中心城?,南 北,商品房,4室2厅1厨2卫,有,高楼层 (共24层)
,精装,https://sz.lianjia.com/ershoufang/105100529517.html,2003年建/塔楼,95264元/平米,碧海云天一期,186.85㎡,1780,福田区?竹子林?,南 北,商品房,4室2厅1厨2卫,有,高楼层 (共9层)
,70年,https://sz.lianjia.com/ershoufang/105100882285.html,未知年建/暂无数据,64880元/平米,龙湖山庄,246.61㎡,1600,龙华区?龙华中心?,简装,满五年,6室2厅1厨2卫,"属
商品房
",低楼层 (共1层)
,精装,https://sz.lianjia.com/ershoufang/105100921700.html,2008年建/塔楼,46317元/平米,信义假日名城六期溢芳园,69.09㎡,320,龙岗区?布吉关?,西北,商品房,2室2厅1厨1卫,有,中楼层 (共22层)
,精装,https://sz.lianjia.com/ershoufang/105100931106.html,2009年建/板塔结合,83944元/平米,泰华阳光海小区,140.57㎡,1180,宝安区?碧海?,南,商品房,6室2厅1厨3卫,暂无数据,低楼层 (共4层)
,其他,https://sz.lianjia.com/ershoufang/105100969579.html,2015年建/板塔结合,54524元/平米,信义御城豪园,89.87㎡,490,龙岗区?横岗?中环至外环,西北,商品房,4室1厅1厨3卫,有,高楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105100892483.html,1999年建/板塔结合,35061元/平米,龙珠花园,58.47㎡,205,龙岗区?布吉关?,东,商品房,2室1厅1厨1卫,有,低楼层 (共30层)
,简装,https://sz.lianjia.com/ershoufang/105101104953.html,2007年建/板塔结合,85378元/平米,西岸观邸,81.52㎡,696,宝安区?宝安中心?,北,商品房,3室1厅1厨1卫,有,高楼层 (共28层)
,精装,https://sz.lianjia.com/ershoufang/105101031885.html,2008年建/板塔结合,72041元/平米,水木澜山居,83.98㎡,605,福田区?梅林?,南,商品房,3室2厅1厨1卫,有,高楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105101012666.html,未知年建/塔楼,82919元/平米,荣超城市春天花园,66.33㎡,550,福田区?华强南?内环内,南,商品房,2室1厅1厨1卫,暂无数据,低楼层 (共41层)
,简装,https://sz.lianjia.com/ershoufang/105100627833.html,2005年建/板楼,49264元/平米,佳兆业可园六期,100.48㎡,495,龙岗区?布吉南岭?,北,商品房,4室2厅1厨2卫,有,中楼层 (共22层)
,毛坯,https://sz.lianjia.com/ershoufang/105100279201.html,2015年建/塔楼,63471元/平米,佳兆业城市广场一期,133.92㎡,850,龙岗区?坂田?,南,商品房,5室2厅1厨3卫,有,高楼层 (共48层)
,精装,https://sz.lianjia.com/ershoufang/105101030792.html,2006年建/板塔结合,65098元/平米,风临洲,99.85㎡,650,宝安区?宝安中心?,东南,商品房,3室2厅1厨1卫,有,高楼层 (共26层)
,精装,https://sz.lianjia.com/ershoufang/105100861176.html,1998年建/板塔结合,70741元/平米,文竹园,148.43㎡,1050,南山区?蛇口?,南,商品房,4室2厅1厨2卫,暂无数据,高楼层 (共7层)
,其他,https://sz.lianjia.com/ershoufang/105101209717.html,2004年建/板塔结合,34364元/平米,水晶之城,72.17㎡,248,龙岗区?横岗?,东南,商品房,3室1厅1厨1卫,暂无数据,低楼层 (共6层)
,简装,https://sz.lianjia.com/ershoufang/105100832444.html,1996年建/板塔结合,42365元/平米,泰华花园,101.5㎡,430,宝安区?新安?,东南 南 北,商品房,3室1厅1厨2卫,暂无数据,中楼层 (共8层)
,精装,https://sz.lianjia.com/ershoufang/105100551273.html,2006年建/塔楼,133203元/平米,半岛城邦花园一期,163.66㎡,2180,南山区?蛇口?,东南,商品房,4室2厅1厨2卫,有,中楼层 (共25层)
,精装,https://sz.lianjia.com/ershoufang/105101139214.html,2006年建/板塔结合,42252元/平米,东方御花园,118.34㎡,500,龙岗区?龙岗中心城?,南 北,商品房,4室2厅1厨2卫,有,中楼层 (共18层)
,简装,https://sz.lianjia.com/ershoufang/105100813103.html,2000年建/塔楼,39196元/平米,中兆花园,67.61㎡,265,龙岗区?布吉大芬?,东北,商品房,3室1厅1厨1卫,暂无数据,低楼层 (共8层)
,简装,https://sz.lianjia.com/ershoufang/105101130962.html,2002年建/塔楼,34452元/平米,碧湖玫瑰园,98.11㎡,338,龙岗区?龙岗中心城?,东,商品房,3室1厅1厨2卫,有,低楼层 (共9层)
,其他,https://sz.lianjia.com/ershoufang/105101138976.html,2010年建/板塔结合,57927元/平米,信义荔山公馆,84.59㎡,490,龙岗区?布吉关?,东南,商品房,3室2厅1厨2卫,有,高楼层 (共27层)
,精装,https://sz.lianjia.com/ershoufang/105100752602.html,1999年建/塔楼,51825元/平米,桃源村二期,94.55㎡,490,南山区?西丽?,北,商品房,3室2厅1厨1卫,有,中楼层 (共20层)
,其他,https://sz.lianjia.com/ershoufang/105101136793.html,2006年建/板塔结合,39855元/平米,怡康家园,57.71㎡,230,龙岗区?布吉大芬?,东南,商品房,2室1厅1厨1卫,有,高楼层 (共16层)
,简装,https://sz.lianjia.com/ershoufang/105101219626.html,1999年建/板塔结合,31284元/平米,丽湖花园二期,84.71㎡,265,龙岗区?布吉水径?,北,商品房,3室2厅1厨1卫,暂无数据,中楼层 (共9层)
,精装,https://sz.lianjia.com/ershoufang/105101003136.html,2002年建/板楼,76602元/平米,鼎太风华一期,114.88㎡,880,南山区?前海?,西,商品房,3室2厅1厨2卫,有,中楼层 (共11层)
,精装,https://sz.lianjia.com/ershoufang/105101146535.html,2009年建/板楼,43581元/平米,中海康城国际一期,72.28㎡,315,龙岗区?大运新城?,北,商品房,3室2厅1厨1卫,有,中楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105100315981.html,2008年建/塔楼,46317元/平米,信义假日名城六期溢芳园,69.09㎡,320,龙岗区?布吉关?,北,商品房,2室2厅1厨1卫,有,中楼层 (共22层)
,其他,https://sz.lianjia.com/ershoufang/105101214260.html,2007年建/塔楼,60171元/平米,蜜园,59.83㎡,360,福田区?新洲?,东南,商品房,2室2厅1厨1卫,有,高楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105100893646.html,2000年建/板塔结合,48103元/平米,福田花园大厦,207.89㎡,1000,福田区?石厦?,西 北,商品房,6室2厅1厨2卫,有,高楼层 (共27层)
,简装,https://sz.lianjia.com/ershoufang/105101219984.html,2000年建/塔楼,40902元/平米,风和日丽,74.57㎡,305,龙华区?深圳北站?,东南,商品房,2室2厅1厨1卫,暂无数据,中楼层 (共8层)
,精装,https://sz.lianjia.com/ershoufang/105101031640.html,2003年建/板塔结合,52895元/平米,雍翠华府,68.06㎡,360,罗湖区?布心?,南,商品房,2室2厅1厨1卫,有,中楼层 (共35层)
,毛坯,https://sz.lianjia.com/ershoufang/105100572374.html,2014年建/板塔结合,104283元/平米,华侨城LOFT公馆,287.68㎡,3000,南山区?华侨城?中环至外环,东南,商品房,4室2厅1厨4卫,有,高楼层 (共39层)
,简装,https://sz.lianjia.com/ershoufang/105100405386.html,2003年建/塔楼,66247元/平米,中海深圳湾畔花园,120.46㎡,798,南山区?白石洲?,东南,商品房,2室2厅1厨1卫,有,中楼层 (共32层)
